Wall time,Step,Value
1736408045,628,0.010915045
1736408047,629,0.012840001
1736408056,633,0.012302594
1736408064,637,0.012204366
1736408077,643,0.012025544
1736408079,644,0.009691545
1736408091,649,0.016947281
1736408096,651,0.01290201
1736408107,655,0.014989478
1736408114,658,0.011217296
1736408118,660,0.015362359
1736408135,667,0.010113
1736408141,670,0.014448694
1736408152,675,0.011070074
1736408154,676,0.009804574
1736408165,680,0.007997409
1736408175,684,0.011436164
1736408196,692,0.009617211
1736408200,694,0.011661572
1736408209,697,0.009500002
1736408244,710,0.010665736
1736408257,715,0.01298115
1736408272,721,0.008007981
1736408276,723,0.009347137
1736408282,725,0.008875547
1736408284,726,0.010876677
1736408289,728,0.008350562
1736408291,729,0.008468802
1736408296,731,0.011579325
1736408298,732,0.011050479
1736408301,733,0.013772381
1736408313,738,0.013269171
1736408327,744,0.008374372
1736408377,764,0.008284815
1736408379,765,0.013662546
1736408398,772,0.008651498
1736408406,775,0.009209628
1736408409,776,0.009186853
1736408413,778,0.008697062
1736408418,780,0.009194788
1736408424,782,0.010286663
1736408445,788,0.011145363
1736408512,804,0.014109888
1736408517,805,0.007833098
1736408527,807,0.007305976
1736408542,810,0.006775046
1736408575,818,0.008471744
1736408579,819,0.013273061
1736408619,828,0.00888084
1736408638,832,0.009725474
1736408643,833,0.009967171
1736408652,835,0.008397724
1736408658,836,0.006207459
1736408675,840,0.009856098
1736408683,843,0.006871222
1736408690,845,0.008331285
1736408720,851,0.016426811
1736408750,857,0.010408827
1736408766,860,0.014043258
1736408777,862,0.014388887
1736408797,866,0.006705571
1736408816,870,0.0089021
1736408821,871,0.008792344
1736408883,884,0.013453078
1736408891,886,0.007752449
1736408918,892,0.00777135
1736408931,895,0.010894084
1736408941,897,0.01186022
1736408958,901,0.00616348
1736408963,902,0.009354305
1736408989,908,0.005542595
1736408998,910,0.00748483
1736409030,918,0.006462727
1736409077,928,0.006099674
1736409087,930,0.008176853
1736409097,932,0.009656256
1736409137,942,0.005819042
1736409163,949,0.008955645
1736409171,952,0.015041224
1736409180,955,0.011123313
1736409214,963,0.011549753
1736409281,979,0.011167747
1736409289,982,0.006389145
1736409299,986,0.004866258
1736409315,992,0.014934564
1736409321,994,0.008226772
1736409335,999,0.009659157
1736409342,1002,0.004690594
